sku;Brand;name;genere;price;url;img;livello_atleta;tipologia_pala;superficie_pala;forma_piatto;bilanciamento_pala;materiale_piatto;materiale_cuore;bilanciamento_pala;sweet_spot;spessore;sensazione_colpo;peso

0000023933972;High Power;Hp Racchetta Padel Storm Noene;Uomo,Donna,Unisex;149.000000;https://sportnetit.com/hp-racchetta-padel-storm-noene.html;https://sportnetit.com/pub/media/catalog/product/h/i/high-power-racchetta-padel-tennis-storm-blu.jpg;Avanzato;;;Goccia;;;;;Standard;38mm;;365 g
46072-TU;Head;Head Padel Delta Junior;Bambino;65.000000;https://sportnetit.com/head-delta-junior-with-cb-228300.html;https://sportnetit.com/pub/media/catalog/product/h/e/head-padel-delta-junior.jpg;Principiante;Attacco,Bilanciata;Liscia;Rotonda;Verso la Testa,Al Centro;Graphene Touch;Eva Dura,Eva Morbida;Verso la Testa,Al Centro;Ampio;38mm;Spinta,Controllo;320 g
46068-TU;Head;Head Graphene 360+ Delta Elite con Fodero;Uomo,Donna,Unisex;149.000000;https://sportnetit.com/head-graphene-360-delta-force-with-cb-228120.html;https://sportnetit.com/pub/media/catalog/product/h/e/head-graphene-360_-delta-force-con-cb.jpg;Avanzato,Esperto;Attacco,Bilanciata;Liscia;Goccia;Verso la Testa;Graphene Touch;Eva Dura;Verso la Testa;Stretto;38mm;Spinta,Ritorno Energia;360 g
48084-TU;Adidas;Adidas Pala Rx10;Uomo,Donna,Unisex;89.950000;https://sportnetit.com/adidas-rx10-rk3ca4u15.html;https://sportnetit.com/pub/media/catalog/product/a/d/adidas-pala-rx10.jpg;Principiante;Attacco,Difesa,Bilanciata;Liscia;Rotonda;Al Centro;Fiberglass;Eva Morbida;Al Centro;Ampio,Standard;38mm;Ritorno Energia,Controllo,Ovattato;365 g
48078-TU;Adidas;Adidas Pala Adipower Light 3.0;Donna;249.950000;https://sportnetit.com/adidas-adipower-light-3-0-rk1cc4u12.html;https://sportnetit.com/pub/media/catalog/product/a/d/adidas-adipower-light-30.jpg;Avanzato,Esperto;Attacco,Bilanciata;Ruvida;Rotonda;Al Centro;Carbonio;Eva Morbida;Al Centro;Ampio,Standard;38mm;Spinta,Ritorno Energia,Controllo;350
48077-TU;Adidas;Adidas Pala Adipower Ctrl 3.0;Uomo;299.950000;https://sportnetit.com/adidas-adipower-ctrl-3-0-rk1cc3u17.html;https://sportnetit.com/pub/media/catalog/product/a/d/adidas-adipower-ctrl-30.jpg;Avanzato,Esperto;Difesa,Bilanciata;Ruvida;Rotonda;Al Centro;Carbonio;Eva Dura;Al Centro;Standard;38mm;Spinta,Controllo;365 g
49818-TU;Starvie;Starvie Pala Arcadia 21 con Gymsack;Uomo,Donna,Unisex;79.900000;https://sportnetit.com/starvie-arcadia-arcadia21.html;https://sportnetit.com/pub/media/catalog/product/s/t/starvie-pala-arcadia-21-con-gymsack.jpg;Principiante,Avanzato;Difesa,Bilanciata;Liscia;Rotonda;Al Centro,Verso il Manico;Fiberglass;Eva Morbida;Al Centro,Verso il Manico;Ampio,Standard;38mm;Controllo,Ovattato;365 g
48795-TU;Starvie;Starvie Pala Padel Aquila Space 2021;Uomo,Donna,Unisex;183.000000;https://sportnetit.com/starvie-pala-aquila-space-aquila21-racchetta-padel-2021.html;https://sportnetit.com/pub/media/catalog/product/s/t/starvie-pala-padel-aquila-space-racchetta-da-padel-2021.jpg;Avanzato;Attacco,Difesa,Bilanciata;Liscia;Goccia;Al Centro;Carbonio;Eva Morbida;Al Centro;Standard;38mm;;
48804-TU;Starvie;Starvie Pala Padel Basalto Osiris 2021;Uomo,Donna,Unisex;249.000000;https://sportnetit.com/starvie-pala-padel-basalto-osiris-bas21-racchetta-2021.html;https://sportnetit.com/pub/media/catalog/product/s/t/starvie-pala-padel-basalto-osiris-racchetta-da-padel-2021.jpg;Avanzato,Esperto;Bilanciata;Ruvida;Goccia;Al Centro;Carbonio;Eva Morbida;Al Centro;Standard;38mm;;365 g
48794-TU;Starvie;Starvie Pala Padel Dronos Galaxy 2021;Uomo,Donna,Unisex;224.000000;https://sportnetit.com/starvie-pala-padel-dronos-galaxy-dronos21.html;https://sportnetit.com/pub/media/catalog/product/s/t/starvie-pala-padel-dronos-galaxy-racchetta-da-padel.jpg;Avanzato,Esperto;Attacco,Bilanciata;Ruvida;Goccia;Al Centro;Carbonio;Eva Morbida;Al Centro;Standard;38mm;Spinta,Ritorno Energia;
48087-TU;Starvie;Starvie Pala Padel Triton 2021;Uomo,Donna,Unisex;279.000000;https://sportnetit.com/starvie-pala-triton-triton21-racchetta-padel.html;https://sportnetit.com/pub/media/catalog/product/s/t/starvie-pala-padel-triton-racchetta-da-padel.jpg;Esperto;Attacco;Ruvida;Goccia;Verso la Testa;Carbonio;Eva Morbida;Verso la Testa;Standard;38mm;Spinta,Ritorno Energia;
48793-TU;Starvie;Starvie Pala Padel Metheora Warrior 2021 - Mati Diaz;Uomo;329.000000;https://sportnetit.com/starvie-pala-racchetta-metheora-warrior-methw21.html;https://sportnetit.com/pub/media/catalog/product/s/t/starvie-pala-padel-metheora-warrior.jpg;Esperto;Difesa,Bilanciata;Ruvida;Rotonda;Al Centro;Carbonio;Eva Morbida,Foam Morbido;Al Centro;Standard;38mm;Ritorno Energia,Controllo;375 g
48799-TU;Babolat;Babolat Viper Bambino con Fodero;Bambino;59.000000;https://sportnetit.com/babolat-viper-jr-296-150083.html;https://sportnetit.com/pub/media/catalog/product/1/5/150083-viper_junior-296-1-face.png;Principiante,Avanzato;Attacco,Bilanciata;Liscia;Diamante;Al Centro;Fiberglass;Eva Morbida;Al Centro;Standard;34mm;Spinta,Ritorno Energia,Controllo;300 g
46078-TU;Head;Head Padel Graphene 360 Gamma Motion con Fodero;Uomo,Donna,Unisex;139.000000;https://sportnetit.com/head-graphene-360-gamma-motion-with-cb-228160.html;https://sportnetit.com/pub/media/catalog/product/h/e/head-padel-graphene-360-gamma-motion-con-fodero.jpg;Avanzato;Bilanciata;Liscia;Rotonda,Esagonale;Al Centro;Graphene Touch;Eva Morbida;Al Centro;Standard;38mm;Controllo,Ovattato;365 g
49024-TU;Babolat;Babolat Counter Viper 2021;Uomo,Unisex;249.000000;https://sportnetit.com/babolat-counter-viper-150087.html;https://sportnetit.com/pub/media/catalog/product/b/a/babolat-pala-counter-viper-2021.jpg;Avanzato,Esperto;Difesa,Bilanciata;Ruvida;Goccia,Diamante,Esagonale;Verso la Testa;Carbonio;Eva Morbida,Foam Morbido;Verso la Testa;Ampio,Standard;38mm;Ritorno Energia,Controllo;365 g
49022-TU;Babolat;Babolat Technical Viper 2021;Uomo,Unisex;249.000000;https://sportnetit.com/babolat-tecnical-viper-150085.html;https://sportnetit.com/pub/media/catalog/product/b/a/babolat-pala-tecnical-viper-2021.jpg;Avanzato,Esperto;Attacco;Ruvida;Diamante;Verso la Testa;Carbonio;Eva Dura,Foam Duro;Verso la Testa;Standard,Stretto;38mm;Spinta;365 g
49351-TU;Bullpadel;Bullpadel Hack Comfort 21 con fodero;Uomo;189.900000;https://sportnetit.com/bullpadel-racchetta-padel-hack-comfort-21-459085.html;https://sportnetit.com/pub/media/catalog/product/b/u/bullpadel-hack-comfort-21-con-fodero.jpg;Avanzato,Esperto;Attacco,Bilanciata;Liscia;Diamante;Verso la Testa;Carbonio;Eva Dura;Verso la Testa;Ampio,Standard;38mm;Spinta,Ritorno Energia;370 g
49413-TU;Head;Head Alpha Junior Sanyo 2021;Bambino;69.000000;https://sportnetit.com/head-alpha-jr-sanyo-padel-228311.html;https://sportnetit.com/pub/media/catalog/product/h/e/head-alpha-junior-sanyo-2021.jpg;Avanzato,Esperto;Attacco,Bilanciata;Liscia;Goccia,Diamante;Verso la Testa,Al Centro;Graphene Touch;Eva Dura,Foam Duro;Verso la Testa,Al Centro;Standard;38mm;Spinta,Ritorno Energia;320
49399-TU;Head;Head Graphene 360+ Alpha Pro 2021;Uomo;229.000000;https://sportnetit.com/head-graphene-360-alpha-pro-padel-228131.html;https://sportnetit.com/pub/media/catalog/product/h/e/head-graphene-360_-alpha-pro-2021.jpg;Avanzato,Esperto;Attacco;Liscia;Diamante;Verso la Testa;Graphene Touch;Eva Dura,Foam Duro;Verso la Testa;Standard,Stretto;38mm;Spinta,Ritorno Energia;375 g
49794-TU;Head;Head Graphene 360+ Delta Motion With CB;Uomo;149.000000;https://sportnetit.com/head-graphene-360-delta-motion-228110.html;https://sportnetit.com/pub/media/catalog/product/h/e/head-graphene-360_-delta-motion-with-cb-2.jpg;Avanzato,Esperto;Attacco;Ruvida;Goccia,Diamante;Verso la Testa,Al Centro;Graphene Touch;Eva Dura,Eva Morbida;Verso la Testa,Al Centro;Ampio,Standard;38mm;Spinta,Ritorno Energia;355 g
49822-TU;Babolat;Babolat Contact 2021;Uomo,Donna,Unisex;54.000000;https://sportnetit.com/babolat-pala-contact-150081.html;https://sportnetit.com/pub/media/catalog/product/b/a/babolat-pala-contact.jpg;Principiante;Attacco,Difesa,Bilanciata;Liscia;Rotonda;Al Centro;Fiberglass;Eva Morbida;Al Centro;Ampio;38mm;Controllo,Ovattato;345 g
49820-TU;Babolat;Babolat Technical Vertuo 2021;Uomo;129.000000;https://sportnetit.com/babolat-pala-technical-vertuo-150091.html;https://sportnetit.com/pub/media/catalog/product/b/a/babolat-pala-padel-technical-vertuo.jpg;Avanzato;Attacco;Liscia;Goccia;Verso la Testa;Fiberglass;Eva Dura;Verso la Testa;Standard;38mm;Spinta,Ritorno Energia;355 g
49919-TU;Babolat;Babolat Pala Padel Reflex;Uomo,Donna,Unisex;89.000000;https://sportnetit.com/babolat-reflex-333-150080.html;https://sportnetit.com/pub/media/catalog/product/b/a/babolat-pala-reflex.jpg;Principiante,Avanzato;Attacco,Bilanciata;Liscia;Diamante;Al Centro;Fiberglass;Eva Morbida;Al Centro;Ampio,Standard;38mm;Spinta,Ritorno Energia;360 g
49918-TU;Babolat;Babolat Pala Padel Counter Vertuo 2021;Uomo,Donna,Unisex;129.000000;https://sportnetit.com/babolat-counter-vertuo-341-150093.html;https://sportnetit.com/pub/media/catalog/product/b/a/babolat-pala-counter-vertuo.jpg;Principiante,Avanzato;Difesa,Bilanciata;Liscia;Rotonda,Esagonale;Al Centro;Fiberglass;Eva Dura,Eva Morbida;Al Centro;Ampio,Standard;38mm;Ritorno Energia,Controllo;350
49917-TU;Babolat;Babolat Pala Padel Air Vertuo 2021;Uomo,Donna,Unisex;129.000000;https://sportnetit.com/babolat-air-vertuo-358-150092.html;https://sportnetit.com/pub/media/catalog/product/b/a/babolat-pala-air-vertuo.jpg;Avanzato;Attacco,Bilanciata;Liscia;Goccia,Diamante;Verso la Testa,Al Centro;Fiberglass;Eva Dura;Verso la Testa,Al Centro;Standard;38mm;Spinta,Ritorno Energia;345 g
