sku;Brand;name;genere;price;url;img;appoggio;categ_running;tipo_runner;obiettivo_runner;peso_runner;larghezza_pianta;superficie_di_corsa;comfort_scarpa_running

E9BOSG1202871080;Brooks;Brooks Transcend 6 Donna Grigio-Viola;Donna;102.000000;https://sportnetit.com/brooks-transcend-6-donna-grigio-viola.html;https://sportnetit.com/pub/media/catalog/product/1/2/120287_080.jpg;Neutro;(A4) Ammortizzata-Stabile;Tenersi in Forma,Runner Assiduo,Podista;15-21 km,21-42 km,42 km ed Oltre;40-60 kg,Sopra 60 kg;Media,Larga;Strada,Palestra/Tapis Roulant;Morbida,Durevole
E9BOSG1102901069;Brooks;Brooks Levitate 2 Uomo Nero-Azzurro;Uomo;99.000000;https://sportnetit.com/brooks-levitate-2-uomo-nero-azzurro.html;https://sportnetit.com/pub/media/catalog/product/b/r/brooks-levitate-2-uomo-azzurro-110290_069_l_wr.jpg;Neutro;(A2) Performance;Runner Assiduo,Podista;15-21 km,21-42 km,42 km ed Oltre;60-80 kg,80-100 kg;Media;Strada,Palestra/Tapis Roulant;Morbida,Performance
E9DISG174488C0200;Diadora;Diadora Eagle Nera;Uomo;39.000000;https://sportnetit.com/diadora-eagle-nera.html;https://sportnetit.com/pub/media/catalog/product/1/0/101.174488_c0200_01_hr.jpg;Neutro;Entry level-Amatore;Camminata;Meno di 5km;Meno di 60 kg,60-80 kg;Media;Strada,Palestra/Tapis Roulant;Morbida
E9DISG174471C7406;Diadora;Diadora Mythos Blushield Fly Hip 2 Donna Grigia-Nera;Donna;75.000000;https://sportnetit.com/diadora-mythos-blushield-fly-hip-2-donna-c7406.html;https://sportnetit.com/pub/media/catalog/product/1/0/101.174471_c7406_01_hr.jpg;Neutro;(A3) Max.Ammortizzazione - Neutra;Camminata,Tenersi in Forma;5-10 km,15-21 km;40-60 kg;Media;Strada,Palestra/Tapis Roulant;Morbida
E9DISG174462C2763;Diadora;Diadora Mythos Blushield Hip 4 Grigia;Uomo;79.000000;https://sportnetit.com/diadora-mythos-blushield-hip-4-c2763.html;https://sportnetit.com/pub/media/catalog/product/1/0/101.174462_c2763_01_hr.jpg;Neutro;(A3) Max.Ammortizzazione - Neutra;Camminata,Tenersi in Forma,Runner Assiduo;5-10 km,15-21 km;Meno di 60 kg,60-80 kg,80-100 kg;Media;Strada,Palestra/Tapis Roulant;Morbida
E9ADSGAQ0337;Adidas;Adidas Solar Drive Boost Uomo Grigio Melange;Uomo;60.000000;https://sportnetit.com/adidas-solar-drive-boost-uomo.html;https://sportnetit.com/pub/media/catalog/product/s/c/scarpe_solar_drive_grigio_aq0337_01_standard.jpg;Neutro;(A3) Max.Ammortizzazione - Neutra;Tenersi in Forma,Runner Assiduo;Meno di 5km,5-10 km,15-21 km;60-80 kg;Media;Strada,Palestra/Tapis Roulant;Performance
E9ASSG1014A006500;Asics;Asics GT 1000 PS Bambina Rosa;Bambina;46.000000;https://sportnetit.com/asics-gt-1000-ps-bambina-rosa.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-gt-1000-7-pre-school.jpg;Pronazione;(A4) Ammortizzata-Stabile;;;;;Strada,Palestra/Tapis Roulant;
E9ASSG1011A604001;Asics;Asics Gel Pulse 10 Uomo Mugen Pack;Uomo;75.000000;https://sportnetit.com/asics-gel-pulse-10-uomo-mugen-pack.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-gel-pulse-10-mugen-pack-1011a604-001.jpg;Neutro;(A3) Max.Ammortizzazione - Neutra;Camminata,Tenersi in Forma,Runner Assiduo;Meno di 5km,5-10 km,15-21 km;Meno di 60 kg,60-80 kg;Media;Strada,Palestra/Tapis Roulant;Morbida
E9ASSG1014A038100;Asics;Asics GT 1000 GS SP Bambina Bianca;Bambina;49.000000;https://sportnetit.com/asics-gt-1000-gs-sp-bambina.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-gt-1000-7-gs-sp-1014a038-100.jpg;Pronazione;(A4) Ammortizzata-Stabile;;;;;Strada,Palestra/Tapis Roulant;
