sku;Brand;name;genere;price;url;img;altezzascarpa;ruolo;caratteristicascarpa;larghezzapianta;allenamenti;pesogiocatore


E9MZSVGA191700;Mizuno;Mizuno Wave Momentum Mid Blu Uomo;Uomo;109.000000;https://sportnetit.com/mizuno-wave-momentum-blu-uomo.html;https://sportnetit.com/pub/media/catalog/product/w/a/wave-momentum.jpg;Alta,Mid;Schiacciatore,Opposto,Centrale,Universale;Morbida,Stabile;Media,Larga;2-4 Allenamenti,Oltre 4 Allenamenti;Tra 70 e 90 kg,Oltre i 90 kg
I8ASSVB600N7701;Asics;Asics Gel Beyond 5 MT Verde Lime;Uomo;72.000000;https://sportnetit.com/asics-gel-beyond-5-mt-verde-lime.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-volley-gel-beyond-5-mt-lime.jpg;Alta;Alzatore,Schiacciatore,Opposto,Centrale,Universale;Stabile;Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 70 kg,Tra 70 e 90 kg,Oltre i 90 kg
E9MZSVV1GD180398;Mizuno;Mizuno Volley Lightning Star Z4 Bambino Azzurra;Bambino;35.000000;https://sportnetit.com/mizuno-volley-lightning-star-z4-bambino-azzurra.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-lightning-star-z4-bambino-azzurro-gd1803-98.jpg;Bassa;;;;;
E9MZSVV1GD180347;Mizuno;Mizuno Volley Lightning Star Z4 Bambino Grigia;Bambino;35.000000;https://sportnetit.com/mizuno-volley-lightning-star-z4-bambino-grigia.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-lightning-star-z4-bambino-grigia-gd1803-47.jpg;Bassa;;;;;
E9MZSVGC180060;Mizuno;Mizuno Wave Lightning Z4 da Donna Rosa;Donna;62.000000;https://sportnetit.com/mizuno-wave-hurricane-da-donna-rosa.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-wave-lightning-z4-donna-rosa-gc1800-60.jpg;Bassa;Alzatore,Schiacciatore,Centrale,Libero;Reattiva,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg,Meno di 70 kg,Tra 70 e 90 kg
E9MZSVGA180098;Mizuno;Mizuno Wave Lightning Z4 da Uomo Azzurra;Uomo;62.000000;https://sportnetit.com/mizuno-wave-lightning-z4-da-uomo-azzurra.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-volley-wave-lightning-azzurra-ga1800-98.jpg;Bassa;Alzatore,Schiacciatore,Centrale,Libero;Reattiva,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg,Meno di 70 kg,Tra 70 e 90 kg
I9ASSVB703Y4901;Asics;Asics Gel Task MT Blu Uomo;Uomo;63.000000;https://sportnetit.com/asics-gel-task-mt-blu-uomo4901.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-gel-task-uomo-blu.jpg;Alta;Alzatore,Schiacciatore,Opposto,Centrale,Universale;Leggera;Stretta,Media;1-2 Allenamenti;Meno di 70 kg,Tra 70 e 90 kg
I9ASSVB600N001;Asics;Asics Gel Beyond 5 MT Uomo Black-Koi;Uomo;84.000000;https://sportnetit.com/asics-gel-beyond-5-mt-uomo-black-koi.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-gel-beyond-5-black-koy-uomo-mt.jpg;Alta;Alzatore,Schiacciatore,Opposto,Centrale,Universale;Stabile;Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 70 kg,Tra 70 e 90 kg,Oltre i 90 kg
